## w(eV)         sigma(Sm^-1)     kappa(W(mK)^-1)        L12/e(Am^-1)      L22/e^2(Wm^-1)
    8.33              272985             36.5424         -8.6547e+06          2.7785e+08
    8.35              336402              41.052        -1.06678e+07         3.42182e+08
    8.37              408624             45.7662        -1.29596e+07         4.15354e+08
    8.39              489294             50.4671        -1.55181e+07         4.96943e+08
    8.41              577614             54.9367        -1.83173e+07         5.86083e+08
    8.43              672299             58.9671         -2.1316e+07         6.81433e+08
    8.45              771566             62.3704        -2.44573e+07         7.81163e+08
    8.47              873161             64.9887        -2.76697e+07         8.82984e+08
    8.49              974418             66.7024        -3.08687e+07         9.84212e+08
    8.51         1.07236e+06             67.4367        -3.39603e+07         1.08187e+09
    8.53         1.16384e+06             67.1643         -3.6845e+07         1.17281e+09
    8.55         1.24569e+06             65.9063        -3.94231e+07         1.25389e+09
    8.57         1.31491e+06              63.729        -4.16003e+07         1.32216e+09
    8.59         1.36885e+06             60.7379        -4.32933e+07         1.37502e+09
    8.61         1.40538e+06             57.0693        -4.44353e+07         1.41036e+09
    8.63         1.42301e+06             52.8809          -4.498e+07         1.42678e+09
    8.65         1.42103e+06             48.3407         -4.4905e+07         1.42359e+09
    8.67         1.39951e+06              43.617        -4.42134e+07         1.40092e+09
    8.69         1.35934e+06             38.8685        -4.29334e+07         1.35969e+09
    8.71         1.30212e+06             34.2366        -4.11163e+07         1.30155e+09
    8.73         1.23012e+06             29.8399        -3.88334e+07         1.22875e+09
    8.75         1.14606e+06               25.77        -3.61712e+07         1.14405e+09
    8.77           1.053e+06             22.0913         -3.3226e+07          1.0505e+09
    8.79              954105             18.8406         -3.0098e+07          9.5125e+08
    8.81              852513             16.0307         -2.6886e+07         8.49429e+08
    8.83              751146             13.6532         -2.3682e+07         7.47938e+08
    8.85              652590             11.6835        -2.05678e+07         6.49343e+08
    8.87              559005             10.0851        -1.76111e+07         5.55783e+08
    8.89              472063             8.81406        -1.48648e+07          4.6891e+08
    8.91              392939             7.82343        -1.23656e+07         3.89881e+08
    8.93              322323             7.06601        -1.01353e+07         3.19373e+08
    8.95              260468             6.49711        -8.18187e+06         2.57626e+08
    8.97              207254             6.07605        -6.50133e+06         2.04515e+08
    8.99              162266             5.76691        -5.08055e+06         1.59619e+08
    9.01              124870             5.53846        -3.89953e+06         1.22301e+08
    9.03             94294.3              5.3633        -2.93385e+06         9.17912e+07
    9.05             69693.5             5.21604        -2.15689e+06         6.72459e+07
    9.07               50210             5.07015        -1.54158e+06         4.78109e+07
    9.09             35017.3             4.89188        -1.06187e+06         3.26636e+07
    9.11             23351.7             4.62657             -693688          2.1045e+07
    9.13             14533.1             4.15875             -415607         1.22792e+07
    9.15             7973.57             3.15053             -209116         5.78277e+06
    9.17             3179.82           -0.177795            -58681.5         1.06608e+06
    9.19            -251.984             74.1886             48408.2        -2.27152e+06
    9.21             -2644.6             11.6804              122313        -4.55045e+06
    9.23            -4250.51             9.04027              170984        -6.02176e+06
    9.25            -5263.55             8.03834              200536        -6.87876e+06
    9.27            -5830.25             7.43666              215601        -7.26841e+06
    9.29            -6060.22             6.97088              219661        -7.30152e+06
    9.31            -6035.16             6.55403              215326        -7.06166e+06
